date,mkey,Epi_1y,Epi_5y,Epi_10y,Epi_20y,Epi_30y
1958-02-28,1958-02,2.573767177017463,2.0057340159958343,1.8964540709543096,1.8416175448008199,1.823338584695901
1958-03-31,1958-03,2.759866990534836,2.0556356179365354,1.9201534472202217,1.852168680253203,1.8295069449045045
1958-04-30,1958-04,2.7511812078825173,2.0504885313855965,1.9156871457748246,1.8480439958376345,1.825496133567656
1958-05-31,1958-05,2.5495607280318207,1.9904478947405355,1.8828840694452087,1.8289086898205642,1.8109167804124962
1958-06-30,1958-06,2.3487293623450487,1.9296454018377864,1.849020756456785,1.8085634202697003,1.7950775544428774
1958-07-31,1958-07,2.14409464450868,1.8670270186681968,1.8137239071558728,1.7869764790948754,1.7780606121585258
1958-08-31,1958-08,1.9499752604641543,1.8068453309927919,1.7793095603728224,1.7654921485395287,1.7608863148485494
1958-09-30,1958-09,1.946195250608575,1.7998858829275364,1.7717384423265548,1.7576140953378825,1.7529059492676642
1958-10-31,1958-10,1.9425706265218894,1.7932125185578305,1.7644785520399902,1.7500598871527566,1.7452536344827345
1958-11-30,1958-11,1.9350625258112153,1.7856684059311116,1.7569275113314686,1.742505369942313,1.7376979584308327
1958-12-31,1958-12,1.741868354110335,1.7261436118977205,1.7231184382235356,1.7216004102336766,1.7210943976356665
1959-01-31,1959-01,1.543309473126159,1.6650261878891046,1.6884424192161753,1.7001926518969765,1.7041094214201715
1959-02-28,1959-02,1.3514814919375961,1.6059456036123099,1.654900182406336,1.6794655227288593,1.6876540223880518
1959-03-31,1959-03,0.9701096595042312,1.494032134335475,1.5948259315718967,1.6454041204258933,1.6622636255968353
1959-04-30,1959-04,0.9666099505874568,1.4885993253486736,1.5890212269214121,1.6394127990427574,1.656210098234395
1959-05-31,1959-05,0.9645756636196997,1.4848539609070877,1.5849466801976413,1.6351730691024373,1.6519153068662802
1959-06-30,1959-06,1.1493425028886608,1.533987058312613,1.607986146326509,1.6451187869374326,1.6574964137480281
1959-07-31,1959-07,1.1471998955202836,1.5320494675744911,1.6060879973104982,1.6432404297233418,1.6556246538438524
1959-08-31,1959-08,1.3342766013489094,1.5834280997975836,1.6313606219209669,1.6554130956115682,1.663430638622672
1959-09-30,1959-09,1.5203452673407274,1.6349580151516947,1.6570075637367,1.668071996896827,1.671760165103387
1959-10-31,1959-10,1.7065337677937893,1.6867085600124256,1.6828945263160695,1.6809806494518282,1.6803426863768283
1959-11-30,1959-11,1.5176713592103936,1.6340494409259494,1.6564386098101052,1.6676734639693416,1.6714184395424923
1959-12-31,1959-12,1.706507144009749,1.686659542457073,1.6828412005789657,1.6809251618750458,1.6802864781821658
1960-01-31,1960-01,1.332034930821956,1.5823117242203586,1.6304607340044988,1.6546218409055806,1.6626755952207133
1960-02-29,1960-02,1.7047658082228025,1.683453536008297,1.6793534163390116,1.6772959819269446,1.676610166026948
1960-03-31,1960-03,1.7031968071126478,1.6805648182118782,1.676210807437563,1.674025970818112,1.6732976872413783
1960-04-30,1960-04,1.6984781663679116,1.6768952500927732,1.672743063096963,1.6706595013720427,1.6699649763115136
1960-05-31,1960-05,1.6970306420072907,1.6742301854511923,1.6698437643575879,1.6676426642844842,1.6669089595215205
1960-06-30,1960-06,1.6924485829862066,1.6707775924931185,1.6666084615117145,1.6645163973181225,1.6638190380830653
1960-07-31,1960-07,1.5035426376900516,1.6159831128771955,1.6376147530560796,1.6484694803526712,1.6520877461532584
1960-08-31,1960-08,1.5022715602074668,1.613642907939923,1.6350688661313673,1.6458203824894901,1.6494042444217254
1960-09-30,1960-09,1.3149383018782168,1.5597439059383087,1.6068403516976177,1.6304732834183961,1.6383509782030228
1960-10-31,1960-10,1.4952701002721196,1.6085906034689446,1.6303915461096072,1.6413312291487154,1.6449778137130369
1960-11-30,1960-11,1.4945572047355238,1.6072780779326505,1.628963661932465,1.6398454581642223,1.643472747001473
1960-12-31,1960-12,1.4939783221859764,1.606212286256602,1.6278041971995678,1.6386389884202064,1.6422506088192235
1961-01-31,1961-01,1.6797103465143686,1.6571899774660463,1.6528574404580145,1.6506833793449565,1.649958687626885
1961-02-28,1961-02,1.4930606510007556,1.6045227443774719,1.6259661604916185,1.6367264372113475,1.6403132192829775
1961-03-31,1961-03,1.4927209446938967,1.6038973046325111,1.6252857504798581,1.6360184431952955,1.6395960305394446
1961-04-30,1961-04,1.3075981624950037,1.5520685747834508,1.599100535331513,1.62270110846196,1.6305680169801466
1961-05-31,1961-05,1.3076812819251047,1.5522216075476765,1.5992670182353348,1.6228743406273358,1.630743498913904
1961-06-30,1961-06,1.1243893082481047,1.5018108820298555,1.5744203908940482,1.6108557425984291,1.6230009382723656
1961-07-31,1961-07,1.4888455542774819,1.6044945443845007,1.6267434484102317,1.6379079178563856,1.6416294317069826
1961-08-31,1961-08,1.3079887732538031,1.555677517038589,1.6033286299762983,1.6272398929244878,1.6352103653841181
1961-09-30,1961-09,1.4910601483271864,1.6085718756252627,1.6311791386902783,1.642523432209574,1.6463048878050157
1961-10-31,1961-10,1.1263802164392904,1.5092906337759795,1.5829561030368267,1.6199213342162215,1.6322431575225704
1961-11-30,1961-11,1.1282296991678307,1.5126957516165755,1.58666049868586,1.6237759070579985,1.6361477897519012
1961-12-31,1961-12,1.1305362706559414,1.5169424242691911,1.5912804138939816,1.628583114867236,1.6410174288313866
1962-01-31,1962-01,1.1333022374751107,1.5220348984064782,1.5968204685763998,1.6343477648517435,1.646856944400106
1962-02-28,1962-02,1.3171269587596943,1.5782233834337878,1.628453906749727,1.653659514278824,1.662061437718595
1962-03-31,1962-03,1.3206655024261051,1.584738263503922,1.6355413834584782,1.6610343191934687,1.6695320193204397
1962-04-30,1962-04,1.5051145933530825,1.6420762873593775,1.6684253941032214,1.6816473396352296,1.6860546832771757
1962-05-31,1962-05,1.509129923826682,1.6494689886917844,1.6764678443009438,1.6900158329201125,1.6945318582930275
1962-06-30,1962-06,1.5133121023449134,1.6571688771336885,1.6848444804637723,1.6987320601587208,1.7033612832879779
1962-07-31,1962-07,1.3334567860554127,1.6139336333036955,1.667892621186703,1.6949691671086287,1.7039947407071558
1962-08-31,1962-08,1.5199359686783813,1.673140186169338,1.7026140789213564,1.717404037775445,1.7223340559004183
1962-09-30,1962-09,1.522404876316567,1.6814365484790201,1.712031544662901,1.7273840716774946,1.7325016137337503
1962-10-31,1962-10,1.5274627567135255,1.6907487083113417,1.7221621556962963,1.7379253803981551,1.7431798225676618
1962-11-30,1962-11,1.5327147665338643,1.7004182835186412,1.7326815955520545,1.7488712811658804,1.7542678778908076
1962-12-31,1962-12,1.5381661577874035,1.710454943676126,1.7436003836700311,1.760232719881438,1.7657768677585106
1963-01-31,1963-01,1.5438223818653967,1.7208687254439539,1.7549294388383447,1.7720210579835438,1.7777183011606388
1963-02-28,1963-02,1.3685085128409504,1.6812624497685404,1.741431002212728,1.771623499092824,1.7816877297188563
1963-03-31,1963-03,1.5535436838621224,1.74249268667227,1.7788432698065486,1.7970839424384761,1.8031642059181983
1963-04-30,1963-04,1.379434115232338,1.7041536935148875,1.7666242323911785,1.7979718628974952,1.8084211405524082
1963-05-31,1963-05,1.3862833557920062,1.7167639606259892,1.780342823290615,1.8122466091498877,1.822881273119761
1963-06-30,1963-06,1.5717300875350395,1.7796772329079875,1.819682736419485,1.8397574430709034,1.846449055172154
1963-07-31,1963-07,1.576866924963643,1.7928115439995207,1.8343556257883569,1.8552023889036802,1.8621513548216726
1963-08-31,1963-08,1.584613033083698,1.8070730510402517,1.8498705850653878,1.871346328789293,1.8785049562642349
1963-09-30,1963-09,1.4132543769295987,1.771917851737713,1.8409186205395551,1.8755431114429442,1.8870846829514067
