,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
2003-02,1.75,5.045,1.164,7.959,2.574,10.533,POOL
2003-03,2.04,4.931,1.604,8.575,2.581,11.156,POOL
2003-04,2.113,5.1,1.517,8.73,2.525,11.256,POOL
2003-05,1.787,5.365,1.894,9.046,2.517,11.563,POOL
2003-06,1.813,5.527,1.911,9.251,2.526,11.777,POOL
2003-07,2.299,5.473,2.357,10.129,2.53,12.659,POOL
2003-08,2.077,5.553,2.099,9.729,2.54,12.268,POOL
2003-09,1.713,5.717,1.843,9.273,2.558,11.83,POOL
2003-10,1.853,5.668,2.384,9.905,2.543,12.448,POOL
2003-11,1.832,5.684,2.156,9.672,2.529,12.201,POOL
2003-12,1.744,5.777,2.928,10.449,2.544,12.994,POOL
2004-01,1.661,5.89,2.203,9.754,2.556,12.31,POOL
2004-02,1.424,5.94,3.06,10.424,2.547,12.971,POOL
2004-03,1.355,5.72,2.443,9.518,2.56,12.077,POOL
